date,Mkt.RF,SMB,HML,RMW,CMA,RF,CAT,IBM,MS,BHP,SAM,DD,GE,XOM,CSCO
28/04/2004,-1.46,-0.84,-0.06,0.7,-0.37,0.004,-2.600790965,-0.77127314,-2.208218598,-4.830730728,-0.472317855,-2.318924092,-1.750070352,-1.450412964,-2.516164184
29/04/2004,-0.86,-0.76,-0.76,0.95,-1.04,0.004,-2.695974146,-1.481955711,-0.076333695,-2.842605133,0,-3.102402432,0.09986263,-1.354246243,-2.077783166
30/04/2004,-0.66,-0.67,-0.02,1.26,-0.77,0.004,0.193177844,-1.026895851,-1.869998155,0.672576675,0.262668926,0.05044109,-0.333287902,0.023499109,-4.671512077
3/05/2004,0.85,0.04,-0.35,0.33,-0.06,0.003,2.087870305,-0.170236738,0.155583673,0.243451396,0.783907896,0.301888996,1.161789976,2.621043665,0.999272423
4/05/2004,0.21,0.42,0.18,-0.35,0.3,0.003,-0.454567775,1.107288205,1.943279988,3.582451248,-0.31282091,1.421670632,0.460965258,-0.366980916,1.176764469
5/05/2004,0.27,-0.16,-0.19,0.05,0.17,0.003,-0.266168761,-0.044995597,0.038101501,0.934043455,-0.576063374,-1.020601698,0.164111401,1.074198259,-0.516067692
6/05/2004,-0.8,-0.38,-0.19,0.31,-0.2,0.003,-1.21289684,-0.474170485,-0.343420957,-3.188004228,-0.473809759,-1.563289628,-0.065581759,-0.364390002,1.122502573
7/05/2004,-1.48,-0.84,-0.5,-0.41,0.02,0.003,-0.94209933,-0.192599179,-0.728963635,-2.613326403,0.263499487,-3.780854471,-1.554480009,-1.332120159,0.879880389
10/05/2004,-1.29,-0.66,-0.46,0.47,-0.51,0.003,-5.654851742,-1.496544554,0.307598934,-2.178723617,1.047135195,-2.107057499,0.099940712,-2.813789819,-0.323231128
11/05/2004,0.95,0.84,0.22,-1,0.55,0.003,0.301441739,0.287306409,0.650405051,1.932093876,0.984708656,2.607234728,0.72991459,1.94366557,2.872307541
12/05/2004,0.12,-0.14,-0.06,0.17,-0.19,0.003,2.379069873,-0.367913414,0.646295825,0,0.257543279,-2.069588785,0.494629316,0.934536699,-1.311941246
13/05/2004,-0.08,-0.27,0.01,-0.12,0.15,0.003,-0.267487476,0.436754596,-0.246575264,-1.054889408,-1.659789055,0.933967235,-0.164586868,-0.62982597,-0.9149131
14/05/2004,-0.17,-0.52,-0.12,0.91,-0.56,0.003,1.370138503,-0.898604892,-1.088532781,-0.124827666,0.937008417,-0.026618518,-0.628023427,1.255802601,-2.41872534
17/05/2004,-1.13,-0.37,-0.3,0.56,-0.6,0.003,-2.881680759,-1.023637131,-2.863170409,-1.955329207,-0.623697464,-2.093987287,-0.631925878,-0.509703512,-1.470291003
18/05/2004,0.76,0.35,0.25,-0.31,0.29,0.003,0.285144768,0.617790981,1.393090517,2.702074325,-0.890291295,1.320569708,1.52317326,-0.839775443,0.333902977
19/05/2004,-0.19,0.01,0.51,-0.69,0.5,0.003,0.067825581,1.143749834,1.316313373,3.112806208,0.105157736,0.133858165,-0.593266403,-0.211034375,1.699719738
20/05/2004,0.02,-0.1,0.15,0.18,-0.38,0.003,-2.1088067,0.424135344,0.498770601,-2.064396653,0.993461766,-0.751527684,-0.066135241,0.304710729,0.746306578
21/05/2004,0.44,0.41,0.01,-0.14,0.05,0.003,1.059929115,-0.332275318,0.515338144,2.544015351,0.518947727,1.6564378,1.379810048,-0.304710729,0.556074602
24/05/2004,0.29,0.75,0.52,-0.3,0.1,0.003,1.319482242,-0.034431379,1.417671656,0.179286299,0.413223728,1.054335933,0.423236564,0.468402622,0.046191601
25/05/2004,1.66,0.59,0.07,-0.4,0.23,0.003,0.874561178,1.820295017,1.11983154,1.4815112,0.051533111,1.431716395,1.387285732,2.355147017,2.688729497
26/05/2004,0.29,0.12,0.02,-0.4,0.11,0.003,0.267553308,-0.395339737,0.592136918,0.527977798,0.102986621,0.746778369,0.25602246,-0.617995281,0.493358081
27/05/2004,0.51,-0.33,-0.1,0.11,0.09,0.003,0.426643731,0.271234364,-0.277111786,1.336871012,0.308325013,2.282612114,-0.095924769,-0.414187698,0.846527116
